District,beats,STREET,RESIDENCE,APARTMENT,SIDEWALK,OTHER,PARKING LOT/GARAGE(NON.RESID.),ALLEY,RESIDENTIAL YARD (FRONT/BACK),SMALL RETAIL STORE,"SCHOOL, PUBLIC, BUILDING",total,id
1.0,19,7802,2680,1944,4399,6087,2909,303,97,2840,609,29670,1.0
2.0,29,14433,7634,11470,5745,2505,1656,1081,1012,1019,1605,48160,2.0
3.0,17,15485,9945,19412,9097,2253,1395,1324,1220,1058,1057,62246,3.0
4.0,14,18726,19840,12751,8399,2381,2165,1640,2323,1375,1954,71554,4.0
5.0,10,14492,19217,4468,6254,1630,1276,1332,1937,908,1622,53136,5.0
6.0,17,19412,16198,14848,8434,2293,2516,1587,1644,1677,1407,70016,6.0
7.0,20,18985,18972,11634,11016,1795,1275,1951,1904,764,1543,69839,7.0
8.0,17,20682,21871,7967,8334,3394,3980,2150,2546,2018,2318,75260,8.0
9.0,23,18737,11169,9134,6977,2315,2579,1689,1611,1265,1077,56553,9.0
10.0,15,15318,8233,10760,11229,2151,1384,2073,1571,907,1339,54965,10.0
11.0,19,25227,10760,13323,21998,2598,2103,3855,2518,999,1552,84933,11.0
12.0,36,20039,7438,6649,6550,3756,2553,1212,1090,947,1539,51773,12.0
13.0,1,0,1,0,0,0,0,0,0,0,0,1,13.0
14.0,16,15265,5905,6339,4842,2304,1396,1118,1156,1406,520,40251,14.0
15.0,13,14829,8727,10301,13071,1447,1521,1993,1463,620,991,54963,15.0
16.0,23,10507,11277,3704,1978,1574,1409,905,1265,638,832,34089,16.0
17.0,10,10628,6285,5408,2826,1811,1293,935,828,1032,1032,32078,17.0
18.0,17,10981,4123,3199,4980,4388,2777,521,509,3285,349,35112,18.0
19.0,29,13970,6896,6590,7164,3715,1847,1373,1134,2192,676,45557,19.0
20.0,11,4677,2978,3707,1795,1487,712,485,349,494,546,17230,20.0
22.0,18,10996,14511,1746,3290,1339,1470,804,1750,808,1601,38315,22.0
24.0,10,8148,4927,8855,3867,1848,942,1209,781,825,334,31736,24.0
25.0,18,21131,13943,10814,8643,2691,2610,2231,1937,1725,1456,67181,25.0
31.0,12,0,0,0,3,12,0,0,0,1,0,16,31.0
